Date,SPY,SPY_Ret,RF
5/25/2017,241.76,0.004768133,0.00003
5/26/2017,241.71,-0.000206838,0.00003
5/30/2017,241.5,-0.000869187,0.00003
5/31/2017,241.44,-0.000248478,0.00003
6/1/2017,243.36,0.007920833,0.00003
6/2/2017,244.17,0.003322875,0.00003
6/5/2017,243.99,-0.000737463,0.00003
6/6/2017,243.21,-0.003201973,0.00003
6/7/2017,243.66,0.001848543,0.00003
6/8/2017,243.78,0.000492368,0.00003
6/9/2017,243.41,-0.001518915,0.00003
6/12/2017,243.36,-0.000205436,0.00003
6/13/2017,244.55,0.004877958,0.00003
6/14/2017,244.24,-0.001268439,0.00003
6/15/2017,243.77,-0.001926191,0.00003
6/16/2017,242.64,-0.004646294,0.00003
6/19/2017,244.66,0.008290628,0.00003
6/20/2017,243.01,-0.006766897,0.00003
6/21/2017,242.95,-0.000246934,0.00003
6/22/2017,242.84,-0.000452871,0.00003
6/23/2017,243.13,0.001193489,0.00003
6/26/2017,243.29,0.000657868,0.00003
6/27/2017,241.33,-0.008088856,0.00003
6/28/2017,243.49,0.008910582,0.00003
6/29/2017,241.35,-0.008827712,0.00003
6/30/2017,241.8,0.001862776,0.00003
7/3/2017,242.21,0.00169418,0.00004
7/5/2017,242.77,0.002309375,0.00004
7/6/2017,240.55,-0.009186525,0.00004
7/7/2017,242.11,0.0064642,0.00004
7/10/2017,242.37,0.001073316,0.00004
7/11/2017,242.19,-0.000742942,0.00004
7/12/2017,244.01,0.007486666,0.00004
7/13/2017,244.42,0.001678849,0.00004
7/14/2017,245.56,0.00465326,0.00004
7/17/2017,245.53,-0.000122177,0.00004
7/18/2017,245.66,0.000529327,0.00004
7/19/2017,246.99,0.005399384,0.00004
7/20/2017,247.1,0.000445263,0.00004
7/21/2017,246.88,-0.000890724,0.00004
7/24/2017,246.82,-0.000243063,0.00004
7/25/2017,247.42,0.002427971,0.00004
7/26/2017,247.43,4.04163E-05,0.00004
7/27/2017,247.2,-0.000929988,0.00004
7/28/2017,246.91,-0.001173828,0.00004
7/31/2017,246.77,-0.000567169,0.00004
8/1/2017,247.32,0.002226316,0.00003
8/2/2017,247.44,0.000485084,0.00003
8/3/2017,246.96,-0.001941748,0.00003
8/4/2017,247.41,0.001820499,0.00003
8/7/2017,247.87,0.001857536,0.00003
8/8/2017,247.26,-0.002464001,0.00003
8/9/2017,247.25,-4.04441E-05,0.00003
8/10/2017,243.76,-0.014215836,0.00003
8/11/2017,244.12,0.001475773,0.00003
8/14/2017,246.54,0.009864344,0.00003
8/15/2017,246.51,-0.000121692,0.00003
8/16/2017,246.94,0.001742832,0.00003
8/17/2017,243.09,-0.015713647,0.00003
