Date,Mkt-RF,SMB,HML,RF
5/3/2017,-0.0019,-0.0054,0.002,0.00003
5/4/2017,0.0002,-0.0006,-0.0036,0.00003
5/5/2017,0.0046,0.0006,0.0005,0.00003
5/8/2017,-0.0004,-0.0027,0.0028,0.00003
5/9/2017,-0.0005,0.0051,-0.0078,0.00003
5/10/2017,0.0021,0.0019,0.0002,0.00003
5/11/2017,-0.0026,-0.0036,-0.0015,0.00003
5/12/2017,-0.0018,-0.0029,-0.0061,0.00003
5/15/2017,0.0053,0.0025,0.002,0.00003
5/16/2017,-0.0003,0.0016,-0.0009,0.00003
5/17/2017,-0.0197,-0.0089,-0.0054,0.00003
5/18/2017,0.004,0.0006,-0.0039,0.00003
5/19/2017,0.007,-0.0039,0.004,0.00003
5/22/2017,0.0056,0.0028,-0.003,0.00003
5/23/2017,0.0018,-0.0007,0.0061,0.00003
5/24/2017,0.0024,-0.0015,-0.0049,0.00003
5/25/2017,0.0042,-0.0027,-0.0077,0.00003
5/26/2017,0.0006,-0.0002,0.0009,0.00003
5/30/2017,-0.0019,-0.005,-0.0032,0.00003
5/31/2017,-0.0002,0.0003,-0.0056,0.00003
6/1/2017,0.0095,0.0097,0.0003,0.00003
6/2/2017,0.0035,0.0056,-0.0077,0.00003
6/5/2017,-0.0017,-0.0045,0,0.00003
6/6/2017,-0.0028,0.001,-0.0006,0.00003
6/7/2017,0.0015,-0.0019,0.0001,0.00003
6/8/2017,0.0018,0.0116,0.0092,0.00003
6/9/2017,-0.0012,0,0.0237,0.00003
6/12/2017,-0.0011,-0.0027,0.0036,0.00003
6/13/2017,0.0055,0.0008,-0.0014,0.00003
6/14/2017,-0.0017,-0.0047,-0.0055,0.00003
6/15/2017,-0.003,-0.0024,-0.0012,0.00003
6/16/2017,-0.0003,-0.0023,-0.0018,0.00003
6/19/2017,0.0086,0.0012,-0.0074,0.00003
6/20/2017,-0.0073,-0.004,-0.0051,0.00003
6/21/2017,-0.0007,-0.0004,-0.0168,0.00003
6/22/2017,0.0002,0.0052,-0.0042,0.00003
6/23/2017,0.0024,0.0083,-0.005,0.00003
6/26/2017,0.0004,-0.0006,0.0068,0.00003
6/27/2017,-0.0084,-0.004,0.0132,0.00003
6/28/2017,0.0102,0.0075,0.0022,0.00003
6/29/2017,-0.0083,-0.0012,0.0138,0.00003
6/30/2017,0.0014,-0.0009,-0.0025,0.00003
7/3/2017,0.0024,0.0034,0.012,0.00004
7/5/2017,0.0012,-0.0069,-0.0055,0.00004
7/6/2017,-0.0095,-0.0049,0.0012,0.00004
7/7/2017,0.007,0.0042,-0.0041,0.00004
7/10/2017,0.0005,-0.0043,-0.0009,0.00004
7/11/2017,0,0.0038,-0.0053,0.00004
7/12/2017,0.0072,0.0013,-0.0053,0.00004
7/13/2017,0.0017,-0.0005,0.0037,0.00004
7/14/2017,0.0042,-0.0013,-0.005,0.00004
7/17/2017,0,0.0021,0.0013,0.00004
7/18/2017,0.0004,-0.003,-0.0033,0.00004
7/19/2017,0.0059,0.0053,0.0004,0.00004
7/20/2017,-0.0001,0.0005,-0.0001,0.00004
7/21/2017,-0.0008,-0.0041,-0.0028,0.00004
7/24/2017,-0.0003,0.0012,-0.002,0.00004
7/25/2017,0.0038,0.0037,0.0092,0.00004
7/26/2017,-0.0006,-0.0035,-0.007,0.00004
7/27/2017,-0.0014,-0.0064,0.0043,0.00004
7/28/2017,-0.0017,-0.0006,0.0023,0.00004
7/31/2017,-0.0011,-0.0034,0.0044,0.00004
8/1/2017,0.0024,-0.0024,0.0018,0.00003
8/2/2017,-0.0008,-0.0117,0.0016,0.00003
8/3/2017,-0.0021,-0.0034,-0.0029,0.00003
8/4/2017,0.0025,0.003,0.0036,0.00003
8/7/2017,0.0016,-0.0009,-0.0059,0.00003
8/8/2017,-0.0023,-0.001,0.0021,0.00003
8/9/2017,-0.0014,-0.0077,-0.0012,0.00003
8/10/2017,-0.0149,-0.0031,0.0024,0.00003
8/11/2017,0.002,0.0024,-0.0086,0.00003
8/14/2017,0.0103,0.0026,0.0005,0.00003
8/15/2017,-0.0011,-0.0085,-0.0003,0.00003
8/16/2017,0.0018,-0.0012,-0.0045,0.00003
8/17/2017,-0.0159,-0.0017,-0.0016,0.00003
8/18/2017,-0.0015,0.0015,0.0021,0.00003
8/21/2017,0.0006,-0.0025,-0.0022,0.00003
8/22/2017,0.0107,-0.0001,-0.0025,0.00003
8/23/2017,-0.0032,0.001,0.0041,0.00003
8/24/2017,-0.0014,0.0059,0.0017,0.00003
8/25/2017,0.0018,0.0012,0.0057,0.00003
8/28/2017,0.0008,0.0035,-0.0074,0.00003
8/29/2017,0.001,0.0013,-0.0039,0.00003
8/30/2017,0.0053,0.0002,-0.0031,0.00003
8/31/2017,0.0062,0.0048,-0.0041,0.00003
